Event ,County ,District ,Division ,Date ,Place,Deaths ,Injured ,Missing ,Houses Destroyed ,Houses Damaged ,Victims ,Affected ,Relocated ,Evacuated ,Losses $USD ,Losses $Local ,Education centers ,Hospitals ,Damages in crops Ha. ,Lost Cattle ,Damages in roads Mts ,Comments,Responder: military ,Responder: police ,Responder: Red Cross ,Responder: MOSP ,Responder: Nairobi Fire Brigade ,Responder: KPLC ,Responder: UNICEF ,Responder: Saint John Ambulance ,Responder: IRC ,Other Responders ,House: Iron Sheet ,House: Wooden ,House: Mud ,House: Grass Thatched ,House: Tent ,Coordinate Info,County_GIS,Constituency_GIS,County Centriod
FLOOD,KISUMU,KISUMU,,01/14/2010 12:00:00 AM,,,,,3,,,,100,,0,0,,,20,0,20000,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.094690421, 34.64642546)",KISUMU,NYAKACH,"(-0.16945869476, 34.83520346600)"
DROUGHT,NYERI,NYERI,ABERDARE FOREST,01/03/2011 12:00:00 AM,,,,,,,,16015,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.451121702, 36.75564013)",NYERI,KIENI,"(-0.34292358939, 36.95647813460)"
EXTREME RAINS,MURANG'A,MURANGA,ABERDARE FOREST1,06/30/2012 12:00:00 AM,Muranga south,,,,,,16576,,,,0,0,,yes,,0,,"Amount of food required maize-76186,beans-21517,oil-556 and rice 4020.",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.648520917, 36.77203041)",MURANG'A,MATHIOYA,"(-0.80959053649, 37.03272252330)"
LANDSLIDE,MERU,MERU CENTRAL,ABOTHUGUCHI CENTRAL,11/11/2010 12:00:00 AM,"Nkubu, Ngirine village",1,,,1,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.025283946, 37.682027)",MERU,NORTH IMENTI,"(0.16677924134, 37.76403705420)"
FLOOD,MERU,MERU CENTRAL,ABOTHUGUCHI CENTRAL,01/01/2010 12:00:00 AM,Juakali plot,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.025283946, 37.682027)",MERU,NORTH IMENTI,"(0.16677924134, 37.76403705420)"
DROUGHT,MERU,MERU CENTRAL,ABOTHUGUCHI WEST,09/10/2009 12:00:00 AM,Ntugi,,,,,,,,,,0,0,,Yes,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,GOK,NA,NA,NA,NA,NA,"(0.098721236, 37.56272592)",MERU,NORTH IMENTI,"(0.16677924134, 37.76403705420)"
THUNDERSTORM,UASIN GISHU,UASIN GISHU,AINABKOI,01/07/2011 12:00:00 AM,"Kiptagat, Macheiwa village",8,,,,,,,,,0,0,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.331473048, 35.43626874)",UASIN GISHU,AINABKOI,"(0.52608589155, 35.32201166720)"
DROUGHT,UASIN GISHU,UASIN GISHU,AINABKOI,04/26/2009 12:00:00 AM,"Chepkatet, Jasho Farm Village",,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.331473048, 35.43626874)",UASIN GISHU,AINABKOI,"(0.52608589155, 35.32201166720)"
DROUGHT,UASIN GISHU,UASIN GISHU,AINABKOI,04/26/2009 12:00:00 AM,Munyaka Village,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.331473048, 35.43626874)",UASIN GISHU,AINABKOI,"(0.52608589155, 35.32201166720)"
THUNDERSTORM,UASIN GISHU,UASIN GISHU,AINABKOI,10/08/2012 12:00:00 AM,Kiborgok village,,1,,,,,,,,0,0,,yes,,0,,The victim rushed to Kapsaret district nhospital and admitted in serious condition.,NA,NA,NA,NA,NA,NA,NA,NA,NA,Area chief,NA,NA,NA,NA,NA,"(0.331473048, 35.43626874)",UASIN GISHU,AINABKOI,"(0.52608589155, 35.32201166720)"
DROUGHT,MERU,MERU NORTH,AKITHI,09/10/2009 12:00:00 AM,Akithi,,,,,,,,,,0,0,,yes,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,GOK,NA,NA,NA,NA,NA,"(0.233721648, 37.71767371)",MERU,NORTH IMENTI,"(0.16677924134, 37.76403705420)"
WINDSTORM,BUSIA,TESO,AMAGORO,04/13/2013 12:00:00 AM,Usajai,,,,,,,,,,0,0,,yes,,0,,"classrooms at St. Mary's Osajai primary school were destroyed, unknown number of cows killed by lightning",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.641035408, 34.29992847)",BUSIA,TESO NORTH,"(0.38744367755, 34.19363148840)"
FLOOD,BUSIA,TESO,AMUKURA,04/27/2010 12:00:00 AM,Aremit and Akoreet Locations,,,,,,,12000,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.556219622, 34.25938728)",BUSIA,TESO NORTH,"(0.38744367755, 34.19363148840)"
FLOOD,BUSIA,TESO,ANGURAI,04/13/2013 12:00:00 AM,Amudai Village,2,,,,,,5,,,0,0,,yes,,0,,"Faith Imanyala was seriously injured, rushed and admitted to Teso district hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,members of public,NA,NA,NA,NA,NA,"(0.709906985, 34.37061623)",BUSIA,TESO NORTH,"(0.38744367755, 34.19363148840)"
FLOOD,HOMA BAY,HOMA BAY,ASEGO,06/05/2010 12:00:00 AM,River Arujo,2,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.577404303, 34.48232572)",HOMA BAY,RANGWE,"(-0.54280939416, 34.35899686870)"
FLOOD,MIGORI,MIGORI,AWENDO,04/03/2012 12:00:00 AM,RAPOGI AREA,2,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.8726228, 34.54325741)",MIGORI,KURIA EAST,"(-0.98953684371, 34.36334530760)"
DROUGHT,KILIFI,KILIFI,BAHARI,01/03/2011 12:00:00 AM,Kilifi,,,,,,,12433,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-3.489945669, 39.85727307)",KILIFI,KALOLENI,"(-3.17573201323, 39.68668755070)"
DROUGHT,KILIFI,KILIFI,BAHARI,09/04/2009 12:00:00 AM,Matsangoni,,,,,,,3,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-3.489945669, 39.85727307)",KILIFI,KALOLENI,"(-3.17573201323, 39.68668755070)"
FOREST FIRE,NAKURU,NAKURU,BAHATI,02/23/2005 12:00:00 AM,Bahati,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.143202665, 36.1296262)",NAKURU,SUBUKIA,"(-0.46367543171, 36.07847909420)"
DROUGHT,NAKURU,NAKURU,BAHATI,04/26/2009 12:00:00 AM,Langas village,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.143202665, 36.1296262)",NAKURU,SUBUKIA,"(-0.46367543171, 36.07847909420)"
DROUGHT,NAKURU,NAKURU,BAHATI,04/26/2009 12:00:00 AM,Nyama Miti Village,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.143202665, 36.1296262)",NAKURU,SUBUKIA,"(-0.46367543171, 36.07847909420)"
DROUGHT,GARISSA,GARISSA,BALAMBALA,09/03/2011 12:00:00 AM,,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.119329214, 39.15781573)",GARISSA,BALAMBALA,"(-0.48891034483, 40.19927853780)"
FLOOD,GARISSA,GARISSA,BALAMBALA,07/11/2008 12:00:00 AM,Dujis,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.119329214, 39.15781573)",GARISSA,BALAMBALA,"(-0.48891034483, 40.19927853780)"
DROUGHT,GARISSA,GARISSA,BALAMBALA,01/04/2010 12:00:00 AM,Dujis,,,,,,,,,,0,0,,yes,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.119329214, 39.15781573)",GARISSA,BALAMBALA,"(-0.48891034483, 40.19927853780)"
DROUGHT,KILIFI,KILIFI,BAMBA,09/10/2009 12:00:00 AM,Bamba,,,,,,,,,,0,0,,yes,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,GOK,NA,NA,NA,NA,NA,"(-3.454136829, 39.36724869)",KILIFI,KALOLENI,"(-3.17573201323, 39.68668755070)"
FLOOD,TANA RIVER,TANA RIVER,BANGALE,01/03/2012 12:00:00 AM,,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.421694549, 38.98876291)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
